"raw_case_name","source_x_mm","source_y_mm","source_z_mm","leak_rate_ml_min","case_id","data_index","data_dir","raw_file_count","available_unique_frame_count","selected_steps","frame_selection_mode","frame_time_start","frame_time_end","raw_node_count","raw_u_min","raw_u_max","raw_v_min","raw_v_max","raw_w_min","raw_w_max","raw_total_bytes_selected","ignored_downloading_count","discarded_duplicate_count","ignored_bad_name_count","repaired_frame_count","repaired_frame_times"
"6,0,0,0,100","0","0","0","100","case_0000","0","E:\氢泄漏\6,0,0,0,100","350","350","120","integer_aligned","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","0","0","0",""
"6,0,0,0,200","0","0","0","200","case_0001","1","E:\氢泄漏\6,0,0,0,200","240","240","120","integer_aligned","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","0","0","0",""
"6,0,0,0,50","0","0","0","50","case_0002","2","E:\氢泄漏\6,0,0,0,50","350","350","120","integer_aligned","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","0","0","0",""
"6,0,0,0,400","0","0","0","400","case_0003","3","E:\氢泄漏\6,0,0,0,400","120","120","120","integer_aligned","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","0","0","0",""
"6,0,0,0,600","0","0","0","600","case_0004","4","E:\氢泄漏\6,0,0,0,600","120","120","120","integer_aligned","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","0","0","0",""
"6,0,0,0,800","0","0","0","800","case_0005","5","E:\氢泄漏\6,0,0,0,800","120","120","120","integer_aligned","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","0","0","0",""
"6,0,0,0,1000","0","0","0","1000","case_0006","6","E:\氢泄漏\6,0,0,0,1000","126","126","120","integer_aligned","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","0","0","0",""
"6,0,100,0,100","100","0","0","100","case_0007","7","F:\AI反演_CFD计算\6,0,100,0,100\6,0,100,0,100","242","240","120","integer_aligned","1.0","120.0","198565","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","1906233600","0","0","2","0",""
"6,0,100,0,50","100","0","0","50","case_0008","8","F:\AI反演_CFD计算\6,0,100,0,50\6,0,100,0,50","242","240","120","integer_aligned","1.0","120.0","198565","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","1906233600","0","0","2","0",""
"6,0,100,0,200","100","0","0","200","case_0009","9","F:\AI反演_CFD计算\6,0,100,0,200\6,0,100,0,200","242","240","120","integer_aligned","1.0","120.0","198565","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","1906233600","0","0","2","0",""
"6,0,100,0,400","100","0","0","400","case_0010","10","F:\AI反演_CFD计算\6,0,100,0,400\6,0,100,0,400","122","120","120","integer_aligned","1.0","120.0","174808","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","1678166400","0","0","2","0",""
