raw_case_name,source_x_mm,source_y_mm,source_z_mm,leak_rate_ml_min,case_id,data_index,data_dir,raw_file_count,available_unique_frame_count,selected_steps,frame_selection_mode,frame_time_start,frame_time_end,raw_node_count,raw_u_min,raw_u_max,raw_v_min,raw_v_max,raw_w_min,raw_w_max,raw_total_bytes_selected,ignored_downloading_count,discarded_duplicate_count,ignored_bad_name_count,repaired_frame_count,repaired_frame_times
"6,200,-300,100",200,-300,0,100,case_0000,0,"F:\氢泄露\6,200,-300,100\all",240,240,120,integer_aligned,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,0,0,4,18;26;28;29
"6,200,-300,1000",200,-300,0,1000,case_0001,1,"F:\氢泄露\6,200,-300,1000\all",120,120,120,integer_aligned,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,0,0,0,
"6,200,-300,200",200,-300,0,200,case_0002,2,"F:\氢泄露\6,200,-300,200\all",240,240,120,integer_aligned,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,0,0,5,18;19;20;21;22
"6,200,-300,400",200,-300,0,400,case_0003,3,"F:\氢泄露\6,200,-300,400\all",120,120,120,integer_aligned,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,0,0,0,
"6,200,-300,50",200,-300,0,50,case_0004,4,"F:\氢泄露\6,200,-300,50\all",240,240,120,integer_aligned,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,0,0,0,
"6,200,-300,600",200,-300,0,600,case_0005,5,"F:\氢泄露\6,200,-300,600\600mlmin,0.59ms\all",120,120,120,integer_aligned,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,0,0,0,
"6,200,-300,800",200,-300,0,800,case_0006,6,"F:\氢泄露\6,200,-300,800\all",120,120,120,integer_aligned,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,0,0,4,52;53;54;55
"6,200,-150,100",200,-150,0,100,case_0007,7,"F:\氢泄露\6,200.-150,100\100mlmin,0.59ms\all",240,240,120,integer_aligned,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,0,0,5,64;65;66;67;68
Q100-X300-Y0-Fraction,300,0,0,100,case_0008,8,E:\氢泄漏\Q100-X300-Y0-Fraction,240,240,120,integer_aligned,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,0,0,0,
Q100-X400-Y0-Fraction,400,0,0,100,case_0009,9,E:\氢泄漏\Q100-X400-Y0-Fraction,240,240,120,integer_aligned,1.0,120.0,6186987,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59395084800,0,0,0,0,
Q1000-X300-Y0-Fraction,300,0,0,1000,case_0010,10,E:\氢泄漏\Q1000-X300-Y0-Fraction,120,120,120,integer_aligned,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,0,0,0,
Q1000-X400-Y0-Fraction,400,0,0,1000,case_0011,11,E:\氢泄漏\Q1000-X400-Y0-Fraction,120,120,120,integer_aligned,1.0,120.0,6186987,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59395084800,0,0,0,0,
