raw_case_name,source_x_mm,source_y_mm,source_z_mm,leak_rate_ml_min,case_id,data_index,data_dir,raw_file_count,selected_steps,frame_time_start,frame_time_end,raw_node_count,raw_u_min,raw_u_max,raw_v_min,raw_v_max,raw_w_min,raw_w_max,raw_total_bytes_selected,repaired_frame_count,repaired_frame_times,available_unique_frame_count,frame_selection_mode,ignored_downloading_count,discarded_duplicate_count,ignored_bad_name_count,pred_source_x_m,pred_source_y_m,pred_source_z_m,source_l2_error_m,source_l2_error_mm,feature_source_strength,feature_strength,feature_peak,feature_score_peak,feature_mass_slope_early,feature_mass_mean_early,feature_mass_last,feature_arrival_time_fraction,pred_leak_rate_ml_min,leak_rate_abs_error_ml_min,leak_rate_rel_error
"0,-150,0,1000mlmin",0,-150,0,1000.0,case_0000,0,"D:\BaiduNetdiskDownload\0,-150,0,1000mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,0.00018134180373446072,0.0036558759679321796,-0.14942770791877757,0.0037048390206479427,3.7048390206479427,0.001619721002643928,0.001619721002643928,0.014361065812408924,0.0133997343480587,1.7715104468491304e-05,5.2994411431010234e-05,0.002119190052284642,0.0,999.2127659872037,0.7872340127962616,0.0007872340127962616
"0,-150,0,100mlmin",0,-150,0,100.0,case_0001,1,"F:\氢泄露\0,-150,0,100mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,2.0687602551866177e-05,0.003784518653778408,-0.14945014804547177,0.0038243099494673,3.8243099494673,0.00016304782015504315,0.00016304782015504315,0.0014548131730407476,0.0013433786341920495,1.793878887404377e-06,5.095542512152875e-06,0.0002157833096293262,0.0,103.96776047131586,3.967760471315856,0.03967760471315856
"0,-150,0,200mlmin",0,-150,0,200.0,case_0002,2,"F:\氢泄露\0,-150,0,200mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,0.00015427834312149724,0.0037721627587966266,-0.14943045820904666,0.0038180350362000117,3.818035036200012,0.0003555102000342837,0.0003555102000342837,0.003150197211652994,0.0029192923568189142,3.894994359186992e-06,1.1602272797302981e-05,0.0004680852748398271,0.0,222.1124704812358,22.11247048123579,0.11056235240617894
"0,-150,0,400mlmin",0,-150,0,400.0,case_0003,3,"F:\氢泄露\0,-150,0,400mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,0.00015430053437071045,0.0037641504695714086,-0.149434510286711,0.0038095165084715676,3.8095165084715674,0.0006592418574922097,0.0006592418574922097,0.005829653702676296,0.005422409903258085,7.1942811713827796e-06,2.144829972572725e-05,0.0008632388899022698,0.0,407.62785836448256,7.627858364482563,0.01906964591120641
"0,-150,0,50mlmin",0,-150,0,50.0,case_0004,4,"F:\氢泄露\0,-150,0,50mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,0.000573285398717845,0.003515056787956176,-0.14957250682191753,0.0035870643691251086,3.5870643691251085,9.388984350759225e-05,9.388984350759225e-05,0.0009213625453412533,0.0007752276374958456,8.464693927908952e-07,2.255228733979347e-06,0.00010748711899059183,0.0,50.673081713070985,0.6730817130709852,0.013461634261419704
"0,-150,0,600mlmin",0,-150,0,600.0,case_0005,5,"F:\氢泄露\0,-150,0,600mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,0.00015913127482693884,0.0037574201362628977,-0.1494016249232611,0.003808094218304509,3.8080942183045092,0.0009590635246131568,0.0009590635246131568,0.008500974625349045,0.007904633414000273,1.0509017685673107e-05,3.137908232517874e-05,0.0012588935195544998,0.0,594.0187131841392,5.981286815860813,0.00996881135976802
"0,-150,0,800mlmin",0,-150,0,800.0,case_0006,6,"F:\氢泄露\0,-150,0,800mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,0,,,,,,,0.00013253098824016034,0.003762519903691867,-0.14945522092331648,0.003804064238536662,3.804064238536662,0.0012881990843064462,0.0012881990843064462,0.011395123787224293,0.010610838234424592,1.4116350081593899e-05,4.2193363321963634e-05,0.0016891980781549945,0.0,796.8589149786011,3.141085021398908,0.003926356276748635
"100,0,0,1000mlmin",100,0,0,1000.0,case_0007,7,"D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,1000mlmin",120,120,1.0,120.0,5116753,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49120838400,0,,,,,,,0.098576622725816,0.002309393581602463,0.0003141572047829985,0.002730933234029574,2.7309332340295738,0.0018443964580073953,0.0018443964580073953,0.02560291811823845,0.02434217594563961,1.7707940925329572e-05,5.3042488067364205e-05,0.0021107677753437228,0.0,998.5248648258158,1.4751351741841745,0.0014751351741841745
"100,0,0,600mlmin",100,0,0,600.0,case_0008,8,"D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,600mlmin",120,120,1.0,120.0,4988820,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,47892681600,0,,,,,,,0.09838638103125961,0.0019878077539469408,-0.0005069036737507995,0.002609999459270526,2.6099994592705262,0.0011087930915333953,0.0011087930915333953,0.015537616796791553,0.014669950120151043,1.0624401397876866e-05,3.176532759474348e-05,0.0012713402348743339,0.0,600.3306123898567,0.3306123898566966,0.000551020649761161
"100,0,0,800mlmin",100,0,0,800.0,case_0009,9,"D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,800mlmin",120,120,1.0,120.0,4988820,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,47892681600,0,,,,,,,0.09826250477572966,0.0018976861928096977,-0.0005264114096695735,0.0026262542742417623,2.6262542742417625,0.001492665988703569,0.001492665988703569,0.021215423941612244,0.019865060597658156,1.4168305544602459e-05,4.2416079602786726e-05,0.0016888370884659929,0.0,799.5276673600276,0.47233263997236463,0.0005904157999654558
