data_index,case_id,raw_case_name,source_x_mm,source_y_mm,source_z_mm,leak_rate_ml_min,min,max,mean,std,sum,finite_ratio,flags
0,case_0000,"0,-150,0,1000mlmin",0,-150,0,1000,7.516979621868813e-06,0.10577161610126495,0.0015700282528996468,0.00095433893147856,20835.911407112733,1.0,
1,case_0001,"0,-150,0,100mlmin",0,-150,0,100,9.335477102467848e-07,0.014226141385734081,0.00015937663556542248,0.00010032273712567985,2115.0929187852475,1.0,
2,case_0002,"0,-150,0,200mlmin",0,-150,0,200,1.6208168744924478e-06,0.023969918489456177,0.0003462233580648899,0.00021424742590170354,4594.747648447884,1.0,
3,case_0003,"0,-150,0,400mlmin",0,-150,0,400,3.0005692224222003e-06,0.03469337522983551,0.0006390358321368694,0.00039480728446505964,8480.667233051136,1.0,
4,case_0004,"0,-150,0,50mlmin",0,-150,0,50,1.0713110043525376e-07,0.00950474664568901,7.91222119005397e-05,5.0590326281962916e-05,1050.0332999458924,1.0,
5,case_0005,"0,-150,0,600mlmin",0,-150,0,600,4.424427970661782e-06,0.04222782328724861,0.000931988179218024,0.000564924965146929,12368.45054972466,1.0,
6,case_0006,"0,-150,0,800mlmin",0,-150,0,800,5.97988491790602e-06,0.08984939754009247,0.0012510946253314614,0.0007605244172737002,16603.333074235707,1.0,
7,case_0007,"100,0,0,1000mlmin",100,0,0,1000,6.761110398656456e-06,0.15696294605731964,0.0015685183461755514,0.0010496017057448626,20815.876070325154,1.0,
8,case_0008,"100,0,0,600mlmin",100,0,0,600,3.96917903344729e-06,0.09006229043006897,0.0009421550785191357,0.0006074086995795369,12503.387410251871,1.0,
9,case_0009,"100,0,0,800mlmin",100,0,0,800,5.290145054459572e-06,0.10640592873096466,0.0012550463434308767,0.0008422954706475139,16655.79032365038,1.0,
10,case_0010,"200,-150,0,1000mlmin",200,-150,0,1000,9.525744530947122e-07,0.2130500078201294,0.0015586368972435594,0.0011532179778441787,20684.72647239524,1.0,
