tag,mpdps_weight,obs_rho,total_steps,num_posterior_samples,output_dir,correct_global_rmse_mean,correct_global_mae_mean,correct_global_rel_l2_mean,correct_global_rel_l1_active_mean_mean,shuffled_global_rmse_mean,shuffled_global_mae_mean,shuffled_global_rel_l2_mean,shuffled_global_rel_l1_active_mean_mean,shuffled_minus_correct_rel_l2,shuffled_over_correct_rel_l2,shuffled_minus_correct_rmse,shuffled_over_correct_rmse
w0.4_rho0.003_steps20_post01,0.4,0.003,20,1,results/advisor_study/mpdps_tuning_holdout400/w0.4_rho0.003_steps20_post01,0.0025399906961219468,0.0007000317491031038,8.417259210436802,4.433571482040936,0.002539927402228154,0.0007000271480739598,8.417127464406146,4.4334532534174524,-0.00013174603065557733,0.9999843481081714,-6.329389379278183e-08,0.9999750810528993
w0.4_rho0.003_steps30_post01,0.4,0.003,30,1,results/advisor_study/mpdps_tuning_holdout400/w0.4_rho0.003_steps30_post01,0.0025259293951681782,0.0006914413939017249,8.368592010636851,4.358216244159667,0.0025259443996607386,0.0006914410686344458,8.368585823488772,4.358116957066383,-6.187148079206395e-06,0.9999992606703647,1.500449256031447e-08,1.0000059401868433
w0.4_rho0.01_steps20_post01,0.4,0.01,20,1,results/advisor_study/mpdps_tuning_holdout400/w0.4_rho0.01_steps20_post01,0.0025399906961219468,0.0007000317491031038,8.417259210436802,4.433571482040936,0.002539927402228154,0.0007000271480739598,8.417127464406146,4.4334532534174524,-0.00013174603065557733,0.9999843481081714,-6.329389379278183e-08,0.9999750810528993
w0.4_rho0.01_steps30_post01,0.4,0.01,30,1,results/advisor_study/mpdps_tuning_holdout400/w0.4_rho0.01_steps30_post01,0.0025259293951681782,0.0006914413939017249,8.368592010636851,4.358216244159667,0.0025259443996607386,0.0006914410686344458,8.368585823488772,4.358116957066383,-6.187148079206395e-06,0.9999992606703647,1.500449256031447e-08,1.0000059401868433
w1_rho0.003_steps20_post01,1.0,0.003,20,1,results/advisor_study/mpdps_tuning_holdout400/w1_rho0.003_steps20_post01,0.0025399443349828493,0.0007000168376459496,8.417265538117244,4.433438413560558,0.002539951235365525,0.0007000186056864297,8.417183352527529,4.433463629710181,-8.218558971506695e-05,0.9999902360702128,6.900382675846528e-09,1.0000027167456313
w1_rho0.003_steps30_post01,1.0,0.003,30,1,results/advisor_study/mpdps_tuning_holdout400/w1_rho0.003_steps30_post01,0.002525929577623557,0.0006914205001551777,8.368581556880473,4.35800457872676,0.0025259157598793336,0.0006914305144231711,8.368495728901541,4.358081514154921,-8.58279789319738e-05,0.999989744023124,-1.3817744223560552e-08,0.9999945296399607
w1_rho0.01_steps20_post01,1.0,0.01,20,1,results/advisor_study/mpdps_tuning_holdout400/w1_rho0.01_steps20_post01,0.0025399443349828493,0.0007000168376459496,8.417265538117244,4.433438413560558,0.002539951235365525,0.0007000186056864297,8.417183352527529,4.433463629710181,-8.218558971506695e-05,0.9999902360702128,6.900382675846528e-09,1.0000027167456313
w1_rho0.01_steps30_post01,1.0,0.01,30,1,results/advisor_study/mpdps_tuning_holdout400/w1_rho0.01_steps30_post01,0.002525929577623557,0.0006914205001551777,8.368581556880473,4.35800457872676,0.0025259157598793336,0.0006914305144231711,8.368495728901541,4.358081514154921,-8.58279789319738e-05,0.999989744023124,-1.3817744223560552e-08,0.9999945296399607
w2_rho0.003_steps20_post01,2.0,0.003,20,1,results/advisor_study/mpdps_tuning_holdout400/w2_rho0.003_steps20_post01,0.002539903750847408,0.000699978085698374,8.417039177122847,4.43316548422882,0.002539923295457865,0.000699992377026225,8.417209076179775,4.433284650233693,0.00016989905692810225,1.0000201851331987,1.954461045696604e-08,1.0000076950201167
w2_rho0.003_steps30_post01,2.0,0.003,30,1,results/advisor_study/mpdps_tuning_holdout400/w2_rho0.003_steps30_post01,0.00252589856275208,0.0006913952524613375,8.368492576213916,4.357947461950725,0.0025258935098410366,0.0006913996588820218,8.368468500668929,4.357893189427715,-2.4075544986956743e-05,0.999997123072672,-5.052911043572361e-09,0.9999979995590013
